Elapsed Sec,Evacuee Count
0.6599995,0
7.339993,0
10.56005,0
12.42009,0
13.68012,0
14.88015,0
16.02018,0
17.1602,0
18.20023,0
19.26025,0
20.26027,0
21.20029,0
22.10032,0
22.98034,0
23.86036,0
24.76038,0
25.6004,0
26.42041,0
27.30043,0
28.20045,0
29.08047,0
29.92049,0
30.78051,0
31.66053,0
32.70056,0
33.60058,0
34.4406,0
35.30062,0
36.14064,0
37.00066,0
37.88068,0
38.7607,0
39.72072,0
40.78074,0
41.84077,0
42.92079,0
43.94081,0
44.92084,0
45.90086,0
46.94088,0
47.96091,0
48.98093,0
49.94095,0
50.86097,0
51.76099,0
52.70102,0
53.66104,0
54.60106,0
55.54108,0
56.5411,0
57.48112,0
58.38115,0
59.28117,0
60.16119,0
61.00121,0
61.88123,0
62.74125,0
63.60126,0
64.58118,0
65.60101,0
66.62083,0
67.66066,0
68.68049,0
69.68032,0
70.60017,0
71.52001,0
72.41986,0
73.43969,0
74.39953,0
75.31937,0
76.27921,0
77.33904,0
78.29887,0
79.25871,0
80.29854,0
81.27837,0
82.25821,0
83.21805,0
84.1179,0
85.01775,0
85.93759,0
86.85744,0
87.79728,0
88.77711,0
89.93692,0
91.2367,0
92.4165,0
93.6363,0
94.69612,0
95.65596,0
96.65579,0
97.8156,0
98.83543,0
99.85526,0
100.8351,0
101.7349,0
102.6348,0
103.5146,0
104.3945,0
105.2543,0
106.1942,0
107.254,0
108.2139,0
109.1137,0
110.0535,0
110.9734,0
111.8732,0
112.7731,0
113.7329,0
114.9527,0
116.1725,0
117.4123,0
118.6121,0
119.6919,0
120.7917,0
121.7916,0
122.7914,0
123.7312,0
124.6511,0
125.6109,0
126.5708,0
127.5106,0
128.4706,0
129.4508,0
130.371,0
131.3312,0
132.2514,0
133.1716,0
134.1918,0
135.2321,0
136.2723,0
137.3325,0
138.3327,0
139.433,0
140.6332,0
141.8335,0
142.9937,0
144.054,0
145.1142,0
146.1544,0
147.1546,0
148.1348,0
149.095,0
150.0552,0
150.9954,0
151.9156,0
152.8558,0
153.796,0
154.8563,0
155.8165,0
156.8167,0
157.7569,0
158.6571,0
159.6973,0
160.6375,0
161.5977,0
162.5579,0
163.4981,0
164.4383,0
165.5786,0
166.8788,0
168.0391,0
169.3194,0
170.5596,0
171.6398,0
172.7201,0
173.7603,0
174.8405,0
175.9608,0
177.061,0
178.1812,0
179.7416,0
181.1619,0
182.4021,0
183.6024,0
184.7626,0
185.7629,0
186.8431,0
